customer_id,date,amount,category,channel,recurring_flag
1,2025-03-01 00:00:00,-152,rent,transfer,1
1,2025-02-18 00:00:00,-483,food,transfer,0
1,2025-02-11 00:00:00,-1608,food,transfer,0
1,2025-02-05 00:00:00,-566,subscriptions,card,1
1,2025-03-02 00:00:00,4824,salary,direct_debit,1
1,2025-03-11 00:00:00,4824,salary,transfer,1
1,2025-01-29 00:00:00,-190,shopping,direct_debit,0
1,2025-01-06 00:00:00,4824,salary,card,1
1,2025-01-26 00:00:00,4824,salary,direct_debit,1
1,2025-01-20 00:00:00,-308,rent,transfer,1
1,2025-03-27 00:00:00,4824,salary,direct_debit,1
1,2025-01-28 00:00:00,-1482,subscriptions,transfer,1
1,2025-02-17 00:00:00,-1290,rent,direct_debit,1
1,2025-01-15 00:00:00,-687,rent,card,1
1,2025-03-16 00:00:00,4824,salary,transfer,1
1,2025-03-15 00:00:00,-1909,shopping,transfer,0
1,2025-02-20 00:00:00,-456,shopping,card,0
1,2025-03-17 00:00:00,-1751,shopping,direct_debit,0
1,2025-02-01 00:00:00,4824,salary,direct_debit,1
1,2025-02-08 00:00:00,-1279,shopping,card,0
1,2025-03-14 00:00:00,4824,salary,transfer,1
1,2025-03-10 00:00:00,-1404,subscriptions,transfer,1
1,2025-01-09 00:00:00,-1376,travel,transfer,0
1,2025-01-02 00:00:00,-1734,subscriptions,transfer,1
1,2025-01-14 00:00:00,-791,subscriptions,direct_debit,1
1,2025-02-28 00:00:00,-363,shopping,transfer,0
1,2025-01-23 00:00:00,-1118,shopping,direct_debit,0
1,2025-02-04 00:00:00,-1705,travel,direct_debit,0
1,2025-03-03 00:00:00,-942,subscriptions,direct_debit,1
1,2025-03-17 00:00:00,-710,food,card,0
1,2025-01-12 00:00:00,-1855,food,transfer,0
1,2025-02-01 00:00:00,-1217,subscriptions,direct_debit,1
1,2025-03-27 00:00:00,-738,subscriptions,card,1
1,2025-03-05 00:00:00,-422,food,transfer,0
1,2025-01-28 00:00:00,-1683,food,transfer,0
1,2025-02-13 00:00:00,-1852,food,direct_debit,0
1,2025-03-31 00:00:00,-1188,food,card,0
1,2025-03-08 00:00:00,-225,rent,card,1
1,2025-02-22 00:00:00,-1187,subscriptions,card,1
1,2025-03-30 00:00:00,-1372,subscriptions,direct_debit,1
1,2025-03-04 00:00:00,-1673,subscriptions,card,1
1,2025-01-12 00:00:00,-503,food,transfer,0
1,2025-03-30 00:00:00,-677,rent,direct_debit,1
1,2025-03-16 00:00:00,-1019,food,direct_debit,0
1,2025-03-09 00:00:00,-921,food,direct_debit,0
1,2025-03-12 00:00:00,-770,food,direct_debit,0
1,2025-02-28 00:00:00,-677,food,transfer,0
1,2025-01-30 00:00:00,4824,salary,direct_debit,1
1,2025-01-25 00:00:00,-294,food,direct_debit,0
1,2025-03-10 00:00:00,-429,shopping,card,0
1,2025-01-28 00:00:00,-1041,shopping,transfer,0
1,2025-03-17 00:00:00,-1272,travel,transfer,0
1,2025-01-13 00:00:00,-656,rent,card,1
1,2025-02-16 00:00:00,-669,rent,card,1
1,2025-04-01 00:00:00,-309,travel,transfer,0
1,2025-01-06 00:00:00,4824,salary,direct_debit,1
1,2025-02-07 00:00:00,-1983,shopping,card,0
1,2025-03-23 00:00:00,-260,subscriptions,card,1
2,2025-02-06 00:00:00,-1030,subscriptions,transfer,1
2,2025-02-13 00:00:00,-155,rent,transfer,1
2,2025-03-03 00:00:00,3488,salary,card,1
2,2025-02-21 00:00:00,-201,subscriptions,direct_debit,1
2,2025-03-22 00:00:00,-159,shopping,card,0
2,2025-01-20 00:00:00,-1993,travel,transfer,0
2,2025-01-11 00:00:00,-292,rent,direct_debit,1
2,2025-02-23 00:00:00,-1270,travel,direct_debit,0
2,2025-01-29 00:00:00,-829,travel,transfer,0
2,2025-02-26 00:00:00,-1811,food,direct_debit,0
2,2025-02-24 00:00:00,-1214,food,direct_debit,0
2,2025-01-08 00:00:00,-1565,travel,card,0
2,2025-01-27 00:00:00,-482,shopping,transfer,0
2,2025-03-26 00:00:00,3488,salary,card,1
2,2025-01-31 00:00:00,-1180,rent,card,1
2,2025-01-21 00:00:00,3488,salary,transfer,1
2,2025-02-27 00:00:00,-1266,shopping,transfer,0
2,2025-02-07 00:00:00,3488,salary,card,1
2,2025-02-06 00:00:00,-629,shopping,direct_debit,0
2,2025-02-28 00:00:00,3488,salary,direct_debit,1
2,2025-01-30 00:00:00,-1663,food,direct_debit,0
2,2025-03-17 00:00:00,-1696,shopping,card,0
2,2025-02-24 00:00:00,3488,salary,direct_debit,1
2,2025-01-29 00:00:00,-355,shopping,transfer,0
2,2025-01-19 00:00:00,3488,salary,card,1
2,2025-01-22 00:00:00,-1268,food,direct_debit,0
2,2025-03-14 00:00:00,-949,food,card,0
2,2025-03-01 00:00:00,-672,shopping,direct_debit,0
2,2025-02-21 00:00:00,-1074,food,direct_debit,0
2,2025-03-05 00:00:00,-214,subscriptions,direct_debit,1
2,2025-01-06 00:00:00,-1554,subscriptions,transfer,1
2,2025-03-19 00:00:00,-102,food,card,0
2,2025-01-30 00:00:00,-1762,shopping,direct_debit,0
2,2025-03-17 00:00:00,3488,salary,direct_debit,1
2,2025-02-04 00:00:00,-132,travel,card,0
2,2025-03-02 00:00:00,-1384,travel,transfer,0
2,2025-02-05 00:00:00,-1248,rent,transfer,1
2,2025-03-23 00:00:00,-236,subscriptions,transfer,1
2,2025-02-14 00:00:00,-732,subscriptions,transfer,1
2,2025-03-27 00:00:00,3488,salary,card,1
2,2025-02-12 00:00:00,-1470,subscriptions,transfer,1
2,2025-02-06 00:00:00,-1985,shopping,transfer,0
2,2025-03-12 00:00:00,3488,salary,transfer,1
2,2025-01-12 00:00:00,-566,food,transfer,0
2,2025-01-15 00:00:00,-1821,subscriptions,direct_debit,1
2,2025-01-01 00:00:00,-1830,shopping,direct_debit,0
2,2025-03-01 00:00:00,-161,subscriptions,card,1
2,2025-03-08 00:00:00,-1325,food,transfer,0
2,2025-03-22 00:00:00,-1606,subscriptions,card,1
2,2025-01-27 00:00:00,-1174,food,card,0
2,2025-02-06 00:00:00,-1853,subscriptions,direct_debit,1
2,2025-03-04 00:00:00,3488,salary,card,1
2,2025-03-22 00:00:00,-1686,travel,card,0
2,2025-04-01 00:00:00,-686,rent,direct_debit,1
2,2025-01-02 00:00:00,-885,travel,card,0
2,2025-01-29 00:00:00,3488,salary,transfer,1
2,2025-01-16 00:00:00,-1754,shopping,card,0
